"01","AGRICULTURAL PRODUCTION-CROPS"
"011","CASH GRAINS"
"0111","WHEAT"
"0112","RICE"
"0115","CORN"
"0116","SOYBEANS"
"0119","CASH GRAINS, NOT ELSEWHERE CLASSIFIED"
"013","FIELD CROPS, EXCEPT CASH GRAINS"
"0131","COTTON"
"0132","TOBACCO"
"0133","SUGARCANE AND SUGAR BEETS"
"0134","IRISH POTATOES"
"0139","FIELD CROPS, EXCEPT CASH GRAINS, NOT ELSEWHERE CLASSIFIED"
"016","VEGETABLES AND MELONS"
"0161","VEGETABLES AND MELONS"
"017","FRUITS AND TREE NUTS"
"0171","BERRY CROPS"
"0172","GRAPES"
"0173","TREE NUTS"
"0174","CITRUS FRUITS"
"0175","DECIDUOUS TREE FRUITS"
"0179","FRUITS AND TREE NUTS, NOT ELSEWHERE CLASSIFIED"
"018","HORTICULTURAL SPECIALTIES"
"0181","ORNAMENTAL FLORICULTURE AND NURSERY PRODUCTS"
"0182","FOOD CROPS GROWN UNDER COVER"
"019","GENERAL FARMS, PRIMARILY CROP"
"0191","GENERAL FARMS, PRIMARILY CROP"
"02","AGRICULTURAL PRODUCTION-LIVESTOCK AND ANIMAL SPECIALTIES"
"021","LIVESTOCK, EXCEPT DAIRY AND POULTRY"
"0211","BEEF CATTLE FEEDLOTS"
"0212","BEEF CATTLE, EXCEPT FEEDLOTS"
"0213","HOGS"
"0214","SHEEP AND GOATS"
"0219","GENERAL LIVESTOCK, EXCEPT DAIRY AND POULTRY"
"024","DAIRY FARMS"
"0241","DAIRY FARMS"
"025","POULTRY AND EGGS"
"0251","BROILER, FRYER, AND ROASTER CHICKENS"
"0252","CHICKEN EGGS"
"0253","TURKEYS AND TURKEY EGGS"
"0254","POULTRY HATCHERIES"
"0259","POULTRY AND EGGS, NOT ELSEWHERE CLASSIFIED"
"027","ANIMAL SPECIALTIES"
"0271","FUR-BEARING ANIMALS AND RABBITS"
"0272","HORSES AND OTHER EQUINES"
"0273","ANIMAL AQUACULTURE"
"0279","ANIMAL SPECIALTIES, NOT ELSEWHERE CLASSIFIED"
"029","GENERAL FARMS, PRIMARILY LIVESTOCK AND ANIMAL SPECIALTIES"
"0291","GENERAL FARMS, PRIMARILY LIVESTOCK AND ANIMAL SPECIALTIES"
"07","AGRICULTURAL SERVICES"
"071","SOIL PREPARATION SERVICES"
"0711","SOIL PREPARATION SERVICES"
"072","CROP SERVICES"
"0721","CROP PLANTING, CULTIVATING, AND PROTECTING"
"0722","CROP HARVESTING, PRIMARILY BY MACHINE"
"0723","CROP PREPARATION SERVICES FOR MARKET, EXCEPT COTTON GINNING"
"0724","COTTON GINNING"
"074","VETERINARY SERVICES"
"0741","VETERINARY SERVICES FOR LIVESTOCK"
"0742","VETERINARY SERVICES FOR ANIMAL SPECIALTIES"
"075","ANIMAL SERVICES, EXCEPT VETERINARY"
"0751","LIVESTOCK SERVICES, EXCEPT VETERINARY"
"0752","ANIMAL SPECIALTY SERVICES, EXCEPT VETERINARY"
"076","FARM LABOR AND MANAGEMENT SERVICES"
"0761","FARM LABOR CONTRACTORS AND CREW LEADERS"
"0762","FARM MANAGEMENT SERVICES"
"078","LANDSCAPE AND HORTICULTURAL SERVICES"
"0781","LANDSCAPE COUNSELING AND PLANNING"
"0782","LAWN AND GARDEN SERVICES"
"0783","ORNAMENTAL SHRUB AND TREE SERVICES"
"08","-FORESTRY"
"081","TIMBER TRACTS"
"0811","TIMBER TRACTS"
"083","FOREST NURSERIES AND GATHERING OF FOREST PRODUCTS"
"0831","FOREST NURSERIES AND GATHERING OF FOREST PRODUCTS"
"085","FORESTRY SERVICES"
"0851","FORESTRY SERVICES"
"09","FISHING, HUNTING, AND TRAPPING"
"091","COMMERCIAL FISHING"
"0912","FINFISH"
"0913","SHELLFISH"
"0919","MISCELLANEOUS MARINE PRODUCTS"
"092","FISH HATCHERIES AND PRESERVES"
"0921","FISH HATCHERIES AND PRESERVES"
"097","HUNTING AND TRAPPING, AND GAME PROPAGATION"
"0971","HUNTING AND TRAPPING, AND GAME PROPAGATION"
"10","METAL MINING"
"101","IRON ORES"
"1011","IRON ORES"
"102","COPPER ORES"
"1021","COPPER ORES"
"103","LEAD AND ZINC ORES"
"1031","LEAD AND ZINC ORES"
"104","GOLD AND SILVER ORES"
"1041","GOLD ORES"
"1044","SILVER ORES"
"106","FERROALLOY ORES, EXCEPT VANADIUM"
"1061","FERROALLOY ORES, EXCEPT VANADIUM"
"108","METAL MINING SERVICES"
"1081","METAL MINING SERVICES"
"109","MISCELLANEOUS METAL ORES"
